Gene,anopheles darlingi,anopheles gambiae,culex quinquefasciatus,lucilla cuprina,musca,anopheles darlingi,,,,anopheles gambiae,,,,culex quinquefasciatus,,,,lucilla cuprina,,,,musca,,,,simulans,,,,yakuba,,,,pseudo,,,,ananassae,,,,grimshawi,,,,willistoni,,,,virilis,,,,mojavensis,,,,sechellia,,,,Meip 26,,,,all but E and F,only E and F,all but B and E,all but E,all but c,all but D and E,all but D ,only B and F,only F,all but F,all but C and D,only B and E,all but B and D
CG16941,x,x,x,x,x,60.72,64.29,0,no,59.67,64.16,0,no,66.24,65.82,25,no,74.58,74.49,75,yes,74.48,73.72,50,yes,99.62,99.62,100,yes,97.19,97.19,100,yes,86.68,87.12,100,yes,88.89,89.8,100,yes,81.98,83.55,100,yes,84.12,85.84,50,yes,82.36,82.78,100,yes,82.74,83.16,100,yes,98.72,98.72,100,yes,,,,,,,,,,,,,,,,,
CG3590,x,x,x,x,x,77.43,77.75,0,yes,79.09,79.42,0,yes,77.02,77.34,0,yes,86.28,86.28,75,yes,86.1,86.28,50,yes,99.58,99.58,100,yes,99.17,99.17,100,yes,90.02,90.02,100,yes,95.43,95.43,100,yes,85.09,85.45,0,no,89.19,89.19,75,yes,87.53,87.53,0,no,88.15,88.15,0,no,97.09,97.09,100,yes,,,,,,,,,,,,,,,,,
ns1,x,x,x,x,x,44.59,46.13,0,yes,46.72,47.85,0,yes,46.04,49.05,0,yes,27.49,17.56,0,no,74.83,74.7,50,yes,99.14,99.14,100,yes,98.97,98.97,100,yes,87.48,87.78,100,yes,90.88,90.88,100,yes,84.34,84.34,100,yes,86.36,86.06,75,yes,84.51,84.51,75,yes,84.73,85.03,100,yes,99.31,99.31,100,yes,,,,,,,,,,,,,,,,,
Keap1,x,x,x,,x,48.53,59.54,0,yes,45.86,59.92,0,yes,56.95,61.21,25,yes,,,,,50.88,67.01,50,yes,96.91,96.91,100,yes,88.8,88.92,100,yes,73.78,73.97,50,yes,83.2,81.06,50,yes,75.07,71.78,50,yes,74.47,71.78,50,yes,,,,,74.34,72.04,50,yes,96.39,96.39,100,yes,,,all but E,,,,,,,,,,,,,,
MED17,x,,x,x,x,71.78,72.12,0,yes,71.32,71.65,0,yes,70.48,71.03,0,yes,82.87,83.64,0,no,83.18,83.96,25,yes,99.3,99.53,100,yes,92.02,98.75,100,yes,96.11,96.11,100,yes,95.48,95.48,100,yes,93.36,94.24,50,yes,92.87,93.3,50,yes,93.5,94.08,100,yes,92.27,92.99,100,yes,99.53,99.53,100,yes,,,all but C ,,,,,,,,,,,,,,
WRNexo,,x,x,x,x,,,,,43.15,35.59,0,yes,45.7,38.98,0,yes,62.67,53.11,100,yes,65.1,54.8,50,yes,96.89,96.89,100,yes,86.7,92.09,100,yes,73.95,79.38,100,yes,77.75,77.97,100,yes,74.32,69.49,100,yes,71.92,70.9,100,yes,75.15,70.06,100,yes,78.18,72.88,100,yes,97.41,95.48,100,yes,,,all but B,,,,,,,,,,,,,,
TFAM,x,x,x,x,x,24.82,24.3,0,no,26.71,26.06,0,yes,28.74,26.41,0,yes,58.31,60.56,50,yes,54.03,56.69,50,yes,98.94,98.94,75,yes,92.96,92.96,100,yes,73.33,73.59,75,yes,77.19,77.46,75,yes,69.61,,25,no,70.21,72.18,75,yes,71.73,71.48,25,no,73.24,73.24,25,no,98.83,89.44,75,yes,,,,,,,,,,,,,,,,,
Dcr-1,x,x,x,x,x,23.04,28.85,n/a,no,23.42,28.64,n/a,no,23.52,27.96,n/a,no,23.69,29.69,n/a,no,23.83,29.9,n/a,no,25.08,29.53,n/a,no ,24.93,29.37,n/a,no,24.82,29.63,n/a,no,24.6,29.01,n/a ,no,24.98,29.48,n/a,no,24.59,29.37,n/a, no,25.33,29.84,n/a,no,25.4,30,n/a ,no,24.99,29.42,n/a,no,,,,,,,,,,,,,,,,,
Nup98-96,x,x,x,x,x,35.64,37.3,0,yes,36.5,38.42,0,yes,40.17,38.47,0,yes,,55.56,0,no,54.04,54.9,0,no,97.2,97.24,100,yes,93.96,93.72,100,yes,65.32,66.02,100,yes,80.26,80.26,100,yes,60.54,61.12,100,yes,65.4,64.9,50,yes,63.94,64.23,75,yes,61.47,61.94,100,yes,97.09,97.14,100,yes,,,,,,,,,,,,,,,,,
CG11920,,x,x,x,x,,,,,57.51,60.4,0,yes,55.63,58.05,0,yes,59.74,60.74,0,no,63.97,63.76,0,no,99.33,99.33,100,yes,98.99,98.99,100,yes,80.55,79.19,25,no,92.28,92.28,100,yes,69.8,69.8,25,no,79.74,40.94,0,no,69.02,68.79,0,no,69.8,69.8,0,no,99.66,99.66,100,yes,,,all but B,,,,,,,,,,,,,,
CG6066,,x,x,x,x,,,,,34.29,41.25,0,no,40.42,37.8,0,no,46.48,47.08,50,yes,49.11,47.52,25,yes,91.36,91.36,100,yes,84.35,83.8,100,yes,53.12,57.02,100,yes,70.92,68.47,100,yes,61.89,63.5,50,yes,67.92,66.31,50,yes,,,,,60.21,61.12,0,no,90.06,90.06,100,yes,,,all but B,,,,,,,,,,,,,,
CAP-D2,x,,x,x,x,42.61,44.28,0,yes,44.09,46.74,0,yes,41.81,42.54,0,yes,56..31,59.78,0,no,55.42,58.55,0,no,91.67,91.67,100,yes,93.99,94.06,100,yes,68.25,68.7,0,no,75.63,75.8,0,no,62.62,64.71,0,no,64.48,66.16,0,no,66.01,67.97,0,no,63.04,65.14,0,no,97.97,97.97,100,yes,,,all but C ,,,,,,,,,,,,,,
Set1,x,x,x,x,x,26.86,33.39,25,no,28.76,35.1,25,no,42.96,7.43,0,no,33.86,40.22,25,yes,35.97,39.85,0,no,82.83,48.2,50,yes,87.33,11.76,0,no,49.12,52.23,25,no,57.51,34.31,25,no,47.96,50.09,25,no,45.27,48.69,25,no,47.54,49.54,50,yes,47.4,49.36,25,no,87.54,87.32,50,yes,,,,,,,,,,,,,,,,,
wds,x,x,x,x,x,89.63,86.15,0,yes,89.91,86.43,0,yes,90.26,87.26,0,yes,94.62,92.52,0,no,93.16,90.58,0,no,100,100,100,yes,99.45,99.45,100,yes,94.66,93.35,0,no,95.57,95.57,100,yes,95.24,94.18,0,no,95.53,94.74,0,no,95.25,94.46,0,no,94.97,94.18,0,no,100,100,100,yes,,,,,,,,,,,,,,,,,
c12.1,x,x,x,x,x,66.95,90.23,0,yes,71.62,63.32,0,yes,71.49,62.93,0,yes,74.79,69.88,0,no,75.11,68.73,75,yes,89.96,89.96,100,yes,95.33,94.59,100,yes,84,81.08,100,yes,86.11,83.78,75,yes,85.04,83.4,0,no,82.61,80.69,100,yes,87.5,86.49,25,no,85.1,83.78,25,no,98.07,98.07,100,yes,,,,,,,,,,,,,,,,,
Spt5,x,x,x,x,x,69.7,7..41,0,yes,70.28,71.06,0,yes,72.95,73.56,0,yes,82.9,83.67,25,yes,82.66,83.58,0,no,99.35,99.35,100,yes,96.94,97.03,100,yes,91.94,92.11,50,yes,95.47,95.73,100,yes,89.37,89.7,50,yes,90.3,90.63,100,yes,89.31,89.89,50,yes,88.87,89.61,50,yes,99.44,99.44,100,yes,,,,,,,,,,,,,,,,,
CG11398,,,,,,4.37,12.46,0,no,,,,,6.95,13.07,0,no,,,,,,,,,,,,,,,,,8.5,10.64,0,no,12.73,10.64,0,no,10.9,14.29,0,no,9.44,11.25,0,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zetaCOP,x,x,x,x,x,76.27,77.59,50,yes,81.92,83.33,100,yes,83.62,85.06,100,yes,98.28,98.28,50,yes,97.7,97.7,25,yes,100,100,100,yes,99.43,99.43,100,yes,99.43,99.43,75,yes,100,100,100,yes,97.7,97.7,50,yes,99.43,99.43,100,yes,99.43,99.43,50,yes,91.49,98.85,50,yes,99.43,99.43,100,yes,,,,,,,,,,,,,,,,,
CG11985,x,x,x,x,x,85.88,85.88,0,yes,88.24,88.24,0,yes,85.88,85.88,0,yes,88.24,88.24,100,yes,85.88,85.88,100,yes,100,100,100,yes,100,100,100,yes,98.82,98.82,0,no,98.82,98.82,100,yes,98.82,98.82,100,yes,98.82,98.82,100,yes,98.82,98.82,100,yes,98.82,98.82,100,yes,100,100,100,yes,,,,,,,,,,,,,,,,,
CG13779,,,,,,,,,,,,,,,,,,77.46,69.62,0,no,78.87,70.89,0,no,100,100,100,yes,98.73,98.73,75,yes,96.2,96.2,50,yes,97.47,97.47,75,yes,88.61,88.61,50,yes,97.47,97.47,75,yes,89.87,89.87,75,yes,92.41,92.41,50,yes,100,100,100,yes,,,,,,,,,,,,,,,,,
armi,x,x,,,x,29.26,29.63,0,no,30.09,30.98,0,no,,,,,,,,,45.52,45.71,25,yes,92.28,91.58,100,yes,85.07,84.43,100,yes,55.41,47.39,0,no,55.44,59.18,100,yes,51.8,50.84,75,yes,51.74,51.18,0,no,55.02,54.46,75,yes,54.87,54.04,75,yes,92.54,91.83,100,yes,,,all but D and E,,,,,,,,,,,,,,
SCAR,x,x,x,x,x,57.46,53.71,0,yes,60.43,54.15,0,yes,59.68,55.79,0,yes,69.76,78.04,0,no,66.4,73.29,0,no,98.97,99.55,100,yes,97.93,98.37,100,yes,85.1,85.61,75,yes,91.7,91.84,100,yes,80.37,77.74,25,no,82.16,79.97,25,no,80.61,82.05,25,no,78.77,77.6,25,no,88.09,77.89,100,yes,,,,,,,,,,,,,,,,,
mRpS5,x,x,x,,x,46.76,51.35,0,no,46.07,51.84,0,no,46.62,50.86,0,no,,,,,56.59,57.99,0,no,82.2,82.8,0,no ,86.49,86.49,0,no,67.36,71.99,0,no,71.18,71.01,25,no,67.57,67.08,0,no,70.12,69.78,0,no,66.75,66.58,0,no,68.4,68.06,0,no,,,,,,,all but E,,,,,,,,,,,,,,
CG30020,,,,x,x,,,,,11.7,3.36,0,no,12.21,4.35,0,no,,,,,,,,,,,,,,,,,12.48,5.19,0,no,63.32,63.18,50,yes,,,,,,,,,5.56,2.67,0,no,5.61,2.75,0,no,93.49,93.28,100,yes,,,only E and F,,,,,,,,,,,,,,
CG30382,x,x,x,x,x,74.8,75.41,0,yes,76.83,77.46,0,yes,75.61,76.23,0,yes,83.61,83.61,0,no,83.2,83.2,75,yes,98.77,98.77,25,no ,96.72,96.72,25,no,94.26,94.26,25,no,93.44,93.44,25,no,91.8,91.8,25,no,90.57,90.57,50,yes,88.93,88.93,75,yes,90.98,90.98,50,yes,98.77,98.77,50,yes,,,,,,,,,,,,,,,,,
CG32113,x,x,x,x,x,33.7,40.09,0,yes,34.07,39.98,0,yes,36.95,39.58,0,yes,61.93,16.23,0,no,62.61,13.12,0,no,98.78,98.78,100,yes,96.48,96.43,100,yes,77.87,48.12,50,yes,85.45,85.4,100,yes,63.11,63.87,50,yes,69.4,70.2,75,yes,64.42,65.04,50,yes,64.49,65.07,0,no,98.81,93.24,100,yes,,,,,,,,,,,,,,,,,
Ccn,x,x,x,,x,22.51,35.53,0,no,32.24,35.53,0,yes,50.74,29.36,0,yes,,,,,35.93,43.19,25,yes,95.95,95.74,100,yes,91,92.55,0,no,62.45,69.36,0,no,63.39,70,100,yes,58.63,63.62,100,yes,,,,,56.98,62.55,0,no,58.92,60.43,0,no,94.62,93.62,100,yes,,,all but E,,,,,,,,,,,,,,
CG33123,x,x,x,x,x,68.23,68.87,0,yes,69.46,70.22,0,yes,61.22,63.45,0,yes,47.98,80.2,0,no,79.14,79.27,50,yes,98.14,98.14,100,yes,96.79,96.79,100,yes,85.59,85.45,100,yes,91.69,91.54,100,yes,85.82,86.04,100,yes,86.74,86.89,100,yes,88.18,88.32,100,yes,87.92,88.07,100,yes,98.22,98.22,100,yes,,,,,,,,,,,,,,,,,
PNUTS,x,x,x,,x,25.09,12.16,0,no,27,32.42,0,no,28.09,27.4,0,no,,,,,37.7,46.61,25,yes,83.93,86.08,75,yes,86.4,86.17,75,yes,60.98,91.97,25,no,65.95,64.67,25,no,56.62,55.42,75,yes,54.68,56.12,75,yes,57.58,56.56,75,yes,59.62,58.15,75,yes,92.11,91.54,75,yes,,,all but E,,,,,,,,,,,,,,
Nipped-A,x,x,x,x,x,57.52,26.44,0,no,58.79,62.22,0,no,62.13,64.38,0,no,71.78,72.48,0,no,70.58,71.35,0,no,98.42,98.52,100,yes,95.6,81.37,25,no,88.89,5.07,0,no,87.74,10.77,0,no,84.43,84.43,0,no,87.23,87.41,0,no,84.25,84.38,0,no,84.17,84.3,0,no,98.36,91.64,50,yes,,,,,,,,,,,,,,,,,
form3,x,x,x,x,x,42.38,47.64,0,yes,51.81,39.95,0,yes,46.66,45.14,25,yes,53.61,55.85,25,yes,54.92,56.61,0,no,,,,,89.73,91.09,100,yes,73.96,70.65,100,yes,77.2,73.56,100,yes,76.62,6.87,0,no,66.67,65.35,100,yes,65.72,64.53,50,yes,63.63,63.08,50,yes,97.99,73.79,100,yes,,,,,,,,,,,,,,,,,
tmod,x,x,x,x,x,56.56,51.68,0,no,67.59,51.5,25,no,67.28,51.5,0,no,45.36,62.08,100,yes,52.9,64.37,100,yes,99.12,99.12,100,yes,98.67,91.53,100,yes,82.18,86.24,100,yes,89.16,71.08,50,yes,85.87,81.48,100,yes,87.04,87.65,100,yes,88.08,70.37,100,yes,83.79,85.71,100,yes,89.83,63.84,100,yes,,,,,,,,,,,,,,,,,
pps,x,x,x,x,x,18.53,22.79,0,no,21.11,18.48,0,no,26.15,11.6,0,no,25.32,31.02,50,yes,26.18,29.98,0,no,90.14,90.14,100,yes,83.13,82.51,100,yes,40.97,44.3,100,yes,54.61,53.47,100,yes,41.87,42.77,100,yes,42.02,41.87,100,yes,42.38,43.16,100,yes,42.16,43.46,100,yes,92.04,91.67,100,yes,,,,,,,,,,,,,,,,,
CG34310,,,,,x,,,,,,,,,,,,,,,,,46.77,22.48,25,no,90.54,51.94,50,yes,85.14,48.84,0,no,64.71,34.11,50,yes,61.64,34.88,50,yes,,,,,,,,,60.66,28.68,75,yes,60,27.91,50,yes,,,,,,,,,,,,,,,,,,,,,
Not1,x,x,x,x,x,50.78,50.34,0,no,50.26,50.06,0,no,47.41,36.12,0,no,83.47,16.49,25,no,64.72,65.59,25,yes,98.69,98.65,100,yes,96.73,96.69,100,yes,83.33,84.99,75,yes,87.76,88.21,75,yes,81.35,81.28,100,yes,82.8,75.71,75,yes,80.91,82.04,100,yes,79.91,80.61,100,yes,98.66,85.26,100,yes,,,,,,,,,,,,,,,,,
Prosalpha2,x,x,x,x,x,84.19,84.19,0,no,85.04,85.04,0,no,72.04,64.96,0,no,91.88,91.88,25,yes,90.17,90.17,25,yes,100,100,100,yes,98.72,98.72,100,yes,96.15,96.15,100,yes,94.44,94.44,100,yes,95.3,95.3,50,yes,89.74,89.74,100,yes,94.02,94.02,50,yes,94.87,94.87,50,yes,100,100,100,yes,,,,,,,,,,,,,,,,,
tum,x,x,x,x,x,34.71,36.32,0,yes,36.79,38.08,0,yes,42.49,42.56,0,yes,54.49,53.28,25,yes,51.28,51.2,0,no,99.2,99.2,100,yes,98.24,98.24,100,yes,89.74,89.6,100,yes,93.59,93.44,100,yes,68.12,67.68,100,yes,73.16,71.52,50,yes,73.64,73.76,100,yes,67.67,68.32,100,yes,98.88,98.88,100,yes,,,,,,,,,,,,,,,,,
Aats-asn,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cenp-C,,,,,,,,,,,,,,,,,,22.3,21.97,0,no,,,,,91.58,91.71,100,yes,79.81,78.74,100,yes,40.87,38.41,50,yes,39.21,35.01,50,yes,24.34,16.94,0,no,30.69,26.29,50,yes,29.41,29.77,50,yes,27.24,24.31,0,no,91.63,90.79,100,yes,,,,,,,,,,,,,,,,,
pix,x,x,x,x,x,81.06,85.43,25,no,85.39,85.11,25,no,85.55,85.27,0,no,93.28,93.13,75,yes,92.62,92.47,50,yes,,100,100,yes,99.84,99.84,100,yes,98.03,97.87,75,yes,98.53,98.53,100,yes,97.05,97.05,50,yes,96.4,96.4,50,yes,97.87,97.71,75,yes,97.87,97.71,50,yes,100,100,100,yes,,,,,,,,,,,,,,,,,
tlk,x,x,x,x,x,39.35,36.69,0,yes,38.72,37.81,0,yes,52.43,36.94,0,yes,47.67,44.59,0,no,50.47,47.28,0,no,98.66,98.99,100,yes,83.69,84.42,100,yes,62.2,56.48,50,yes,66.12,59.91,0,no,49.75,47.15,50,yes,62.6,55.54,75,yes,58.06,49.83,50,yes,60.53,50.77,50,yes,87.95,81.4,75,yes,,,,,,,,,,,,,,,,,
kis,x,x,x,x,x,29.97,37.18,0,no,30.47,37.97,25,no,35.81,35.2,25,no,47.56,27.04,50,yes,47.55,52.06,25,yes,95.08,89.58,100,yes,89.28,84.09,100,yes,60.52,63.98,100,yes,71.08,72,100,yes,56.5,59.69,100,yes,58.12,62.3,50,yes,61.09,61.14,100,yes,,,,,76.06,40.47,100,yes,,,,,,,,,,,,,,,,,
egg,x,x,x,x,x,35.03,34.87,0,no,32.32,33.68,0,no,30.04,38.99,0,no,41.62,49.76,0,no,44.79,50.79,0,no,85.68,86.77,100,yes,81.54,83.28,100,yes,60.09,61.09,100,yes,67.25,67.51,50,yes,57.55,62.84,100,yes,77.65,59.19,100,yes,,,,,49.15,64.58,100,yes,98.2,73.38,100,yes,,,,,,,,,,,,,,,,,
Snap,,,,,,50.85,50.51,n/a,no,50.85,50.51,n/a,no,51.19,50.85,n/a,no,49.32,48.81,n/a,no,48.81,48.47,n/a,no,49.66,49.15,n/a,no ,50.98,35.25,n/a,no,49.83,49.49,n/a,no,49.32,48.81,n/a,no,49.66,49.15,n/a,no,,,,,50,49.49,n/a,no,49.66,49.15,n/a,no,49.66,49.15,n/a,no,,,,,,,,,,,,,,,,,
CG42245,x,x,,x,x,42.22,37.75,50,yes,44.53,40.4,50,yes,,,,,43.79,44.37,25,yes,51.32,51.66,50,yes,96.69,96.69,100,yes,89.54,90.73,100,yes,66.03,68.21,100,yes,64.47,64.9,100,yes,61.15,63.58,100,yes,54.76,60.93,100,yes,57.52,58.28,100,yes,65.58,66.89,100,yes,96.69,96.69,50,yes,,,all but D,,,,,,,,,,,,,,
CG42307,x,,,x,x,,,,,,,,,,,,,51.04,51.58,0,no,45.92,47.37,25,yes,98.95,98.95,100,yes,87.37,87.37,100,yes,72.16,73.68,100,yes,86.32,86.32,100,yes,67.01,68.42,75,yes,67,70.53,25,no,67.01,68.42,75,yes,64.58,65.26,75,yes,,,,,,,all but C and D,,,,,,,,,,,,,,
pzg,x,x,x,x,x,6.56,10.24,0,no,5.3,10.44,0,no,7.82,4.22,0,no,7.24,4.82,0,no,51.89,56.63,0,no,98.29,98.09,100,yes,94.5,94.88,25,no,81.26,80.52,100,yes,84.84,83.73,50,yes,72.72,72.79,100,yes,73.66,75.8,50,yes,74.52,73.69,100,yes,74,72.29,75,yes,97.59,97.59,100,yes,,,,,,,,,,,,,,,,,
Hip14,x,x,x,x,x,72.42,68.55,50,yes,72.79,69.01,50,yes,69.13,47.18,25,yes,83.26,81.98,50,yes,81.51,80.76,75,yes,99.22,96.49,100,yes,99.24,99.24,100,yes,96.64,96.64,100,yes,,,,,92.49,90.23,75,yes,94.17,93.74,100,yes,92.39,92.67,75,yes,89.95,90.23,75,yes,98.53,50.99,100,yes,,,,,,,,,,,,,,,,,
Nop60B,x,x,x,x,x,74.1,76.57,0,no,74.09,75.98,0,no,76.31,77.36,0,no,83.72,86.02,25,yes,83.5,84.65,0,no,99.41,99.41,100,yes,98.62,98.62,100,yes,76.54,90.55,50,yes,90.68,91.93,100,yes,88.13,89.17,50,yes,89.98,90.16,50,yes,90.94,90.94,50,yes,89.55,89.37,50,yes,94.22,93.11,100,yes,,,,,,,,,,,,,,,,,
gwl,x,x,x,x,x,52.63,52.13,0,yes,53.87,51.89,0,yes,56.64,51.42,0,yes,58.65,69.74,0,no,68.93,69.5,0,no,99.17,99.17,100,yes,96.57,96.57,100,yes,79.2,81.44,25,no,86.28,87,50,yes,74.42,75.65,50,yes,79.63,81.32,50,yes,80.87,80.97,50,yes,77.8,78.72,50,yes,99.17,99.17,100,yes,,,,,,,,,,,,,,,,,
Pp2A-29B,x,x,x,x,x,79.97,73.08,25,no,79.46,72.62,25,no,79.66,65.69,25,no,94.6,86.31,0,no,89.4,86.92,0,no,100,100,100,yes,99.08,99.08,100,yes,93.07,95.08,75,yes,92.79,95.08,100,yes,92.19,94.46,100,yes,99.32,90.31,25,no,92.42,93.85,100,yes,90.36,93.69,100,yes,99.83,90.77,100,yes,,,,,,,,,,,,,,,,,
mxc,,,,x,x,,,,,,,,,,,,,27.3,30.81,0,no,27.87,31.57,75,yes,92.27,91.62,100,yes,86.35,85.74,100,yes,50.29,52.1,75,yes,60.15,58.41,100,yes,43.11,41.54,100,yes,,,,,45.9,44.75,100,yes,45.43,43.82,100,yes,87.74,66.25,100,yes,,,only E and F,,,,,,,,,,,,,,
Bet3,x,x,x,x,,78.09,78.09,25,yes,79.21,79.21,25,yes,80.81,78.09,25,yes,28.44,85.96,0,no,,,,,100,100,100,yes,99.44,99.44,100,yes,96.07,96.07,50,yes,97.19,97.19,50,yes,94.38,94.38,75,yes,97.19,97.19,50,yes,96.07,96.07,25,no,94.38,94.38,25,no,100,100,100,yes,,,all but F,,,,,,,,,,,,,,
par-1,x,x,x,x,x,21.02,32.65,0,no, , , , ,40.98,32.82,0,no,40.61,53.25,0,no,63.18,54.7,25,yes,,,,,91.2,91.28,100,yes,58.47,59.57,25,no,71.65,72.56,75,yes,53.87,52.91,25,no,59.48,58.46,100,yes,56.11,57.69,25,no,59.24,57.27,50,yes,59.4,60.51,100,yes,,,,,,,,,,,,,,,,,
scny,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,92.53,91.91,100,yes,85.66,85.74,100,yes,60.07,63.78,100,yes,62.28,65.7,100,yes,51.16,57.42,50,yes,47.84,52.31,25,no,50.77,56.94,50,yes,50.17,57.71,50,yes,90.46,92.29,100,yes,,,,,,,,,,,,,,,,,
alc,x,x,x,x,x,62.81,52.2,0,yes,60.94,53.08,0,yes,65.26,54.55,0,yes,60.89,63.93,0,no,64.14,64.52,25,yes,98.53,98.53,75,yes,,,,,73.59,72.73,50,yes,78.48,75.95,100,yes,74.34,73.9,50,yes,65.4,65.4,50,yes,75.15,73.61,50,yes,72.7,71.85,25,no,98.53,98.53,100,yes,,,,,,,,,,,,,,,,,
TER94,x,x,x,x,x,90.45,88.26,0,yes,90.05,87.65,0,yes,91.47,88.26,25,yes,96.25,93.34,0,no,94.88,92.01,0,no,98.92,99.88,100,yes,98.44,99.39,100,yes,91.21,95.52,25,no,96.61,96.73,25,no,95.04,95.04,25,no,98.13,95.16,25,no,90.94,96,25,no,90.39,95.64,25,no,99.25,96.25,50,yes,,,,,,,,,,,,,,,,,
Prp19,x,x,x,x,x,84.72,84.55,0,yes,85.91,85.74,0,yes,85.74,85.74,0,yes,88.89,82.38,50,yes,89.92,90.1,75,yes,99.8,99.8,75,yes,99.6,99.6,100,yes,97.03,97.03,100,yes,97.23,97.23,100,yes,92.87,92.87,100,yes,96.24,96.24,100,yes,94.85,94.85,75,yes,94.85,94.85,100,yes,99.6,99.6,100,yes,,,,,,,,,,,,,,,,,
Rpn3,x,x,x,x,x,71.52,71.66,25,no,72.98,73.28,25,no,72.82,72.67,25,no,77.22,77.53,0,no,79.75,79.85,0,no,99.39,99.39,100,yes,99.19,99.19,100,yes,94.76,95.14,100,yes,96.76,96.76,100,yes,93.12,93.12,75,yes,90.6,91.7,25,no,93.54,93.72,75,yes,92.73,92.92,75,yes,99.19,99.19,100,yes,,,,,,,,,,,,,,,,,
CSN8,x,x,x,x,x,34.76,35.71,0,yes,35.29,36.26,0,yes,35.39,34.62,0,yes,41.3,41.76,0,no,31.21,29.67,0,no,96.7,96.7,100,yes,93.96,93.96,100,yes,700.33,70.33,100,yes,79.67,79.67,100,yes,62.98,62.64,100,yes,63.93,64.29,50,yes,64.09,63.74,100,yes,61.88,61.54,100,yes,96.7,96.7,100,yes,,,,,,,,,,,,,,,,,
nej,x,x,x,,x,26.9,35.31,0,no,28.08,36.01,0,no,39.68,34.86,0,no,,,,,44,43.78,25,yes,81.59,81.17,100,yes,76.59,77.27,100,yes,54.23,54.08,100,yes,51.83,50.91,100,yes,49.16,48.99,75,yes,52.81,52.41,100,yes,49.68,47.56,0,no,49.86,49.12,50,yes,71.76,64.5,100,yes,,,all but E,,,,,,,,,,,,,,
pAbp,x,x,x,x,x,63.72,64.83,0,yes,63.61,64.51,0,yes,65.92,65.3,0,yes,74.96,76.03,0,no,76.64,77.6,25,yes,,,,,98.74,98.74,100,yes,89.84,90.69,100,yes,91.08,91.8,100,yes,87.91,89.43,100,yes,89.5,90.06,0,no,88.68,90.22,100,yes,87.75,89.27,75,yes,100,100,100,yes,,,,,,,,,,,,,,,,,
SmE,x,x,x,,x,83.52,80.85,25,yes,85.56,81.91,0,yes,84.62,81.91,25,yes,,,,,92.55,92.55,25,yes,100,100,100,yes,98.94,98.94,75,yes,97.18,73.4,0,no,97.87,97.87,75,yes,94.68,94.68,75,yes,93.62,93.62,100,yes,95.74,95.74,100,yes,96.81,96.81,75,yes,,,,,,,all but E,,,,,,,,,,,,,,
snRNP-U1-C,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,100,100,100,yes,100,100,100,yes,,,,,,,,,,,,,,,,,,,,,,,,,100,100,50,yes,,,,,,,,,,,,,,,,,
Dhc64C,x,x,x,x,x,87.04,87.15,25,no,86.7,86.87,50,no,87.13,87.02,50,no,92.6,77.37,50,yes,92.78,92.68,50,yes,99.57,99.57,100,yes,99.31,99.31,100,yes,97.71,97.75,100,yes,97.88,97.92,100,yes,96.87,96.97,100,yes,97.04,96.91,100,yes,97.31,96.93,100,yes,97.41,97.45,100,yes,99.91,47.03,100,yes,,,,,,,,,,,,,,,,,
aPKC,x,x,x,x,x,74.41,42.8,25,yes,55.21,46.97,0,yes,82.81,38.2,0,yes,54.42,67.43,75,yes,39.85,59.19,25,yes,96.16,96.66,100,yes,85.26,96.03,100,yes,85.44,87.58,75,yes,95.04,96.03,100,yes,81.56,84.97,100,yes,81.82,83.61,500,yes,75.52,87.27,100,yes,,,,,98.64,98.23,100,yes,,,,,,,,,,,,,,,,,
PI4KIIIalpha,,,,x,x,74.68,72.98,0,yes,76.29,73.21,0,yes,73.79,73.72,0,yes,86.19,84.59,25,yes,85.45,84.54,0,no,99.29,97.86,100,yes,98.43,96.29,100,yes,94.1,93.96,50,yes,96.91,96.19,75,yes,92.34,91.27,50,yes,92.5,91.64,25,no,,,,,92.74,91.32,50,yes,98.63,96.75,100,yes,,,only E and F,,,,,,,,,,,,,,
mtRNApol,x,x,x,x,x,51.48,49.67,0,yes,51.26,50.62,0,yes,51.38,49.09,0,yes,69.13,71,0,no,67.36,68.74,0,no,96.93,96.93,100,yes,93.34,93.13,100,yes,83.35,82.98,100,yes,86.05,85.61,100,yes,79.26,79.84,75,yes,78.67,77.87,50,yes,79.11,79.4,50,yes,78.77,78.6,100,yes,96.41,96.06,100,yes,,,,,,,,,,,,,,,,,
TfAP-2,x,x,x,x,x,,,,,74.06,63.06,0,yes,70.91,69.85,0,yes,85.65,84.93,0,no,89.81,89.81,0,no,99.58,99.58,100,yes,99.79,99.79,100,yes,97.24,97.24,25,no,76.48,93.21,100,yes,94.4,92.99,0,no,95.3,94.69,25,no,95.26,93.84,0,no,96.59,96.18,0,no,95.88,93.84,100,yes,,,,,,,,,,,,,,,,,
